id,sku,name,description,base_price,is_active,created_at,updated_at
"65","2PG4PNNP","Fresh Granite Salad","New teal Sausages with ergonomic design for untrue comfort","1299.09","true","2023-04-14 07:09:55","2025-09-26 02:33:47"
"66","UJMAVWZ3","Modern Plastic Ball","Small Salad designed with Steel for unaware performance","311.89","true","2025-07-03 09:18:24","2025-09-26 18:27:27"
"67","PS2A52JK","Incredible Rubber Computer","New purple Sausages with ergonomic design for flashy comfort","1321.09","true","2020-04-28 21:51:55","2021-09-13 21:57:15"
"68","GCMHJKPM","Soft Rubber Soap","Introducing the Holy See (Vatican City State)-inspired Mouse, blending oily style with local craftsmanship","816.39","false","2020-09-10 10:44:48","2024-01-13 18:48:13"
"69","KAOVVEK4","Electronic Silk Pants","Savor the savory essence in our Chips, designed for crafty culinary adventures","1162.39","true","2019-10-26 23:25:40","2024-04-13 12:06:07"
"70","O9XUGJKP","Fresh Wooden Gloves","Lesch Group's most advanced Chips technology increases nervous capabilities","516.39","true","2023-07-22 01:10:17","2025-02-11 15:13:04"
"71","R0QO42HW","Handcrafted Aluminum Chair","Discover the giraffe-like agility of our Salad, perfect for glum users","1009.25","true","2017-08-09 04:06:09","2020-10-12 22:03:36"
"72","8A80FBY9","Unbranded Wooden Shoes","Ruecker, Veum and Ernser's most advanced Chair technology increases tempting capabilities","1235.41","true","2019-10-10 23:48:34","2020-05-09 16:03:55"
"73","B54Y5RFC","Generic Wooden Towels","Discover the subtle new Salad with an exciting mix of Bronze ingredients","976.19","false","2021-02-10 07:05:17","2022-08-21 03:05:20"
"74","S092I7NT","Frozen Granite Pants","Our dog-friendly Towels ensures silent comfort for your pets","891.95","true","2016-04-25 15:31:36","2016-09-25 13:54:58"
"75","3429Y6RN","Fresh Plastic Shirt","Ergonomic Chips made with Plastic for all-day tough support","1679.79","true","2020-02-18 17:41:24","2021-10-15 06:05:20"
"76","S51N6Y4R","Recycled Granite Salad","Discover the hamster-like agility of our Car, perfect for lustrous users","1767.26","true","2018-12-18 02:24:26","2025-05-10 05:04:35"
"77","HF5DQFB2","Handcrafted Gold Bike","The turquoise Chicken combines Lithuania aesthetics with Zinc-based durability","473.29","false","2021-02-17 09:52:43","2022-05-18 03:46:11"
"78","ZSER38YT","Ergonomic Bronze Shirt","Halvorson, Lesch and Jacobson's most advanced Chicken technology increases thorough capabilities","927.59","true","2021-11-11 05:04:35","2024-02-12 05:48:19"
"79","XZ1UB117","Incredible Ceramic Table","The Integrated dedicated matrix Chips offers reliable performance and deep design","1016.09","true","2021-10-13 23:23:07","2025-08-31 16:26:01"
"80","HJ00PEB3","Small Aluminum Bacon","Innovative Tuna featuring overcooked technology and Steel construction","295.89","true","2016-02-19 11:01:56","2019-10-24 02:45:37"
"81","ZEDNRAHQ","Fresh Wooden Chair","Stylish Chair designed to make you stand out with fixed looks","969.49","true","2025-05-29 02:41:31","2025-06-07 04:03:54"
"82","JQCB3MGD","Gorgeous Concrete Table","Discover the elephant-like agility of our Chicken, perfect for jaunty users","121.69","false","2021-06-04 14:47:46","2021-08-22 16:30:30"
"83","YOJHP0XC","Ergonomic Rubber Towels","Ergonomic Pants made with Granite for all-day pessimistic support","382.55","true","2017-12-21 08:25:49","2022-07-13 12:25:41"
"84","R8YBWL4L","Handmade Aluminum Mouse","Experience the orchid brilliance of our Fish, perfect for grown environments","1807.2","true","2016-08-11 06:47:08","2024-03-29 16:01:21"
"85","U4V3WI4R","Ergonomic Ceramic Car","Mueller, Hodkiewicz and Kerluke's most advanced Car technology increases stylish capabilities","232.99","true","2022-08-16 16:26:01","2024-06-12 09:18:46"
"86","4JJ125GI","Incredible Granite Chicken","Professional-grade Bike perfect for different training and recreational use","1302.79","true","2021-09-04 12:14:32","2025-08-06 07:21:22"
"87","HD8VKPFV","Handmade Rubber Car","Savor the delicious essence in our Shirt, designed for pretty culinary adventures","629.22","true","2019-12-23 23:15:39","2023-10-07 21:30:45"
"88","9AWP3KTE","Ergonomic Plastic Pizza","Discover the respectful new Gloves with an exciting mix of Cotton ingredients","684.19","true","2021-03-29 19:18:00","2025-09-18 21:44:00"
"89","D95ESVBH","Incredible Ceramic Chair","Featuring Lanthanum-enhanced technology, our Hat offers unparalleled stark performance","69.39","true","2018-11-04 06:17:19","2020-06-26 07:43:38"
"90","YDUTZAGR","Ergonomic Bronze Sausages","Our hippopotamus-friendly Car ensures silver comfort for your pets","1082.09","false","2020-07-29 06:31:14","2025-05-24 23:03:13"
"91","XXS9NFMR","Frozen Silk Bike","New plum Chicken with ergonomic design for peppery comfort","1406.15","true","2023-03-25 06:19:23","2023-12-12 03:04:08"
"92","5Z2J3BL0","Ergonomic Bronze Computer","Savor the savory essence in our Gloves, designed for lazy culinary adventures","1655.75","true","2025-04-01 14:37:10","2025-09-02 11:31:31"
"93","GVUHES0Q","Licensed Ceramic Pants","The sky blue Cheese combines Puerto Rico aesthetics with Cobalt-based durability","1741.7","true","2016-07-11 22:56:22","2022-07-27 21:19:07"
"94","PGAV0A48","Soft Silk Shirt","Introducing the Indonesia-inspired Computer, blending good style with local craftsmanship","1123.59","true","2018-06-12 17:49:34","2021-08-16 04:36:08"
"95","87A8GVKC","Fantastic Gold Tuna","Savor the moist essence in our Fish, designed for crowded culinary adventures","1020.58","true","2025-04-27 07:37:52","2025-09-30 09:43:29"
"96","8HBDH61A","Sleek Rubber Keyboard","Kessler Inc's most advanced Hat technology increases dim capabilities","692.19","false","2023-11-27 22:33:11","2025-03-01 19:11:00"
"97","1SOULYSF","Awesome Ceramic Hat","Featuring Cadmium-enhanced technology, our Mouse offers unparalleled sad performance","1829.3","true","2017-05-26 18:36:46","2020-06-25 00:19:07"
"98","362PXHKH","Fresh Granite Computer","Schinner Group's most advanced Cheese technology increases grimy capabilities","658.59","true","2018-12-06 02:56:24","2020-04-23 00:44:22"
"99","BG6D70F2","Fresh Aluminum Ball","Professional-grade Keyboard perfect for scared training and recreational use","644.29","true","2020-04-30 05:12:06","2023-04-02 22:05:17"
"100","YBF1NEE4","Handmade Gold Pants","Innovative Tuna featuring dull technology and Ceramic construction","718.89","true","2025-04-21 05:56:56","2025-10-10 12:48:08"
"101","X5EPL3V5","Unbranded Plastic Tuna","Innovative Salad featuring evil technology and Bronze construction","1597.29","true","2018-03-10 05:31:16","2022-02-07 12:50:42"
"102","LE66X7RN","Electronic Concrete Computer","New Keyboard model with 12 GB RAM, 383 GB storage, and jubilant features","108.69","true","2016-02-02 23:21:46","2017-05-24 13:14:13"
"103","WXX0RSNF","Modern Ceramic Salad","Savor the smoky essence in our Table, designed for ignorant culinary adventures","922.39","true","2018-09-14 04:56:07","2021-08-20 09:56:19"
"104","9S2BLF1I","Rustic Concrete Computer","Discover the insidious new Chair with an exciting mix of Granite ingredients","1770.59","true","2021-06-22 17:22:17","2023-04-06 18:54:33"
"105","OB1GH0L1","Intelligent Marble Salad","New Computer model with 53 GB RAM, 889 GB storage, and devoted features","937.39","true","2025-08-06 06:40:21","2025-08-18 21:17:42"
"106","D6QBX3G5","Recycled Concrete Table","Ergonomic Keyboard made with Bamboo for all-day ornery support","1067.29","false","2018-05-26 01:08:29","2024-06-02 14:44:35"
"107","UYR6NN7B","Oriental Bamboo Pizza","Featuring Indium-enhanced technology, our Table offers unparalleled needy performance","1440.54","false","2023-08-14 07:35:47","2023-11-04 11:20:23"
"108","RFW9LSBN","Sleek Aluminum Ball","Discover the horse-like agility of our Table, perfect for leading users","277.19","true","2016-05-14 20:13:22","2018-06-09 05:32:43"
"109","SH68U26G","Electronic Granite Mouse","Discover the frog-like agility of our Computer, perfect for definitive users","1613.8","true","2022-12-19 03:21:37","2023-08-27 12:35:05"
"110","RC17B82K","Electronic Marble Ball","Generic Pants designed with Metal for youthful performance","1177.99","true","2017-07-04 06:11:09","2021-08-13 12:52:18"
"111","GYRQHEN5","Sleek Plastic Tuna","Professional-grade Shirt perfect for tedious training and recreational use","1867.49","true","2019-02-11 14:36:28","2023-10-12 13:33:03"
"112","LEZDGAK7","Small Granite Towels","Savor the fresh essence in our Table, designed for those culinary adventures","1503.45","false","2019-11-17 23:45:04","2022-08-17 14:42:33"
"113","16DQ5KRI","Fantastic Gold Pants","Featuring Ruthenium-enhanced technology, our Keyboard offers unparalleled webbed performance","1109.09","false","2019-09-26 01:08:35","2021-11-09 14:18:37"
"114","H29H2BSH","Soft Cotton Fish","The Luella Fish is the latest in a series of valuable products from Aufderhar, Kuhlman and Veum","822.85","false","2022-08-16 17:53:51","2024-05-04 03:52:30"
"115","PDAQPENL","Tasty Metal Ball","The ivory Bike combines Romania aesthetics with Protactinium-based durability","1700.42","true","2020-08-19 04:08:35","2023-07-27 23:26:33"
"116","U5IJRW40","Licensed Cotton Chicken","Introducing the Eswatini-inspired Gloves, blending lumbering style with local craftsmanship","623.05","false","2017-12-23 13:08:55","2018-11-23 08:20:23"
"117","ZDJPGLQU","Gorgeous Bamboo Ball","Innovative Chips featuring yellow technology and Gold construction","1176.35","true","2024-11-25 18:16:28","2025-07-14 14:49:27"
"118","MUOOMTU9","Handmade Metal Bike","Savor the moist essence in our Mouse, designed for whispered culinary adventures","1420.99","true","2020-06-02 22:08:44","2024-10-25 18:51:02"
"119","UQQQWCIU","Unbranded Ceramic Soap","Savor the delicious essence in our Keyboard, designed for fussy culinary adventures","1742.89","true","2019-04-01 22:01:30","2019-10-16 06:48:57"
"120","LYH0KF6L","Practical Plastic Shirt","The Christine Tuna is the latest in a series of rusty products from Hahn LLC","1510.69","true","2018-09-05 10:37:26","2024-06-03 09:03:31"
"121","GGOH33TH","Refined Aluminum Shirt","Our parrot-friendly Soap ensures sorrowful comfort for your pets","1542.59","true","2020-01-29 06:32:47","2025-05-28 03:37:36"
"122","FA91N8WR","Fresh Rubber Chicken","Introducing the Saint Helena-inspired Chips, blending remarkable style with local craftsmanship","134.59","true","2023-02-11 04:00:47","2025-01-11 05:04:02"
"123","GADVKD5C","Gorgeous Wooden Computer","Featuring Einsteinium-enhanced technology, our Bike offers unparalleled wise performance","1639.49","true","2019-04-17 01:05:31","2022-06-05 18:36:32"
"124","2YPDC1ZL","Incredible Steel Keyboard","Professional-grade Soap perfect for warm training and recreational use","1582.95","false","2023-12-26 17:29:36","2024-11-29 19:09:21"
"125","I2VNMONT","Intelligent Concrete Fish","Savor the juicy essence in our Table, designed for lean culinary adventures","367.39","false","2018-06-30 02:26:34","2021-02-24 11:13:24"
"126","F6VM6D6I","Generic Bamboo Soap","New Tuna model with 8 GB RAM, 823 GB storage, and tangible features","1854.19","true","2017-02-02 02:54:34","2020-11-29 20:03:26"
"127","LFL4OJLK","Licensed Marble Car","The Dixie Chair is the latest in a series of warm products from Boehm - Mitchell","211.25","true","2023-05-14 20:49:02","2025-01-25 05:31:53"
"128","3EBOHZK1","Refined Cotton Ball","Oriental Cheese designed with Gold for athletic performance","1312.89","true","2017-02-12 06:56:11","2022-11-01 06:00:14"
"129","I8PJ1P5Y","Refined Steel Computer","Experience the orange brilliance of our Gloves, perfect for enlightened environments","1006.25","false","2018-12-25 13:10:51","2022-11-07 06:41:37"
"130","FBG8UV0H","Handcrafted Rubber Tuna","New Chair model with 83 GB RAM, 77 GB storage, and speedy features","1860.15","true","2024-07-16 01:45:08","2024-08-13 12:30:08"
"131","GCXRWPK3","Fantastic Concrete Salad","The turquoise Cheese combines Guinea aesthetics with Gold-based durability","1107.85","true","2021-10-08 16:22:38","2023-03-08 17:15:01"
"132","936L6UB8","Fresh Silk Pants","New Bacon model with 52 GB RAM, 54 GB storage, and strident features","1999.34","true","2023-08-24 17:59:37","2024-11-19 18:26:21"
"133","FWB6B3GP","Gorgeous Marble Sausages","Professional-grade Shoes perfect for excited training and recreational use","404.95","true","2025-01-16 20:20:31","2025-04-03 18:41:15"
"134","NLCTTZV3","Incredible Ceramic Chicken","Koepp - Doyle's most advanced Pizza technology increases needy capabilities","412.62","true","2018-02-23 04:35:14","2024-11-22 05:43:14"
"135","5TE258YZ","Sleek Metal Bacon","Savor the savory essence in our Cheese, designed for cool culinary adventures","493.95","false","2018-12-17 07:58:44","2021-12-30 03:48:23"
"136","P0SJRBUC","Awesome Concrete Bacon","Professional-grade Keyboard perfect for likely training and recreational use","1337.64","true","2020-08-23 16:22:20","2020-12-10 10:19:52"
"137","UTATDINW","Refined Aluminum Sausages","Introducing the Equatorial Guinea-inspired Mouse, blending bogus style with local craftsmanship","560.75","false","2016-06-10 06:59:38","2025-02-28 17:41:24"
"138","65PJMN9V","Small Ceramic Chicken","Professional-grade Hat perfect for terrible training and recreational use","1461.7","true","2016-03-25 04:48:10","2021-05-29 23:37:26"
"139","AKF8X424","Bespoke Concrete Shoes","Our ostrich-friendly Shirt ensures upset comfort for your pets","483.85","true","2017-01-08 10:09:48","2018-06-25 15:09:52"
"140","TFTUA5G9","Recycled Steel Chips","New Chair model with 66 GB RAM, 90 GB storage, and ornery features","1375.79","true","2022-06-26 01:13:31","2025-10-13 23:07:54"
"141","CPDECTWV","Soft Silk Soap","The magenta Chicken combines Pakistan aesthetics with Seaborgium-based durability","492.69","true","2017-05-14 03:25:45","2022-08-03 09:39:10"
"142","DYLN7UES","Fantastic Cotton Bacon","Our creamy-inspired Bacon brings a taste of luxury to your glorious lifestyle","484.99","false","2021-03-06 19:29:44","2022-06-21 05:47:35"
"143","RJ1QSNZF","Unbranded Metal Tuna","Awesome Pizza designed with Silk for grounded performance","1571.41","true","2019-12-02 12:12:55","2024-10-04 23:07:49"
"144","JO0T6HLP","Handcrafted Bronze Ball","The lime Computer combines Suriname aesthetics with Americium-based durability","1196.39","true","2023-03-01 21:42:32","2025-01-02 01:24:14"
"145","WJJK0Y5P","Recycled Aluminum Keyboard","The salmon Chair combines Azerbaijan aesthetics with Iridium-based durability","605.39","true","2019-09-06 09:47:55","2020-07-20 23:56:03"
"146","A8QD2PJ6","Gorgeous Granite Keyboard","The Phased asymmetric toolset Gloves offers reliable performance and easy design","1733.35","true","2020-06-30 01:25:47","2025-08-27 10:40:49"
"147","MAG98KJ1","Small Cotton Shirt","The red Shoes combines Mayotte aesthetics with Americium-based durability","1283.59","false","2020-08-25 16:24:32","2023-09-04 23:56:04"
"148","F7DBY1GB","Intelligent Silk Keyboard","The Enhanced needs-based methodology Fish offers reliable performance and unwilling design","54.09","true","2019-11-26 22:57:13","2024-09-29 17:23:29"
"149","D66ZLZMH","Luxurious Ceramic Chips","The Emma Chair is the latest in a series of upset products from Spinka, Kohler and Stanton","858.23","true","2018-06-29 08:11:40","2019-07-01 03:47:41"
"150","DICV5YBR","Frozen Silk Hat","Discover the deer-like agility of our Chair, perfect for pitiful users","1327.9","true","2016-06-17 16:26:18","2019-07-28 20:18:22"
"151","VC7KG7S3","Frozen Gold Pants","The Focused optimal alliance Chips offers reliable performance and ill design","1484.89","true","2021-03-19 00:07:17","2022-09-07 21:57:36"
"152","FTLSEHH8","Handmade Ceramic Gloves","Mayert Group's most advanced Fish technology increases ambitious capabilities","1214.4","false","2018-08-09 10:45:20","2025-07-31 09:26:13"
"153","10ZWVVRI","Modern Cotton Bacon","Professional-grade Gloves perfect for scary training and recreational use","768.09","true","2017-08-20 13:56:15","2017-10-30 02:29:46"
"154","T3B98JV3","Incredible Plastic Bike","Innovative Chair featuring joyful technology and Granite construction","1673.5","true","2021-03-08 14:17:09","2024-02-25 22:41:56"
"155","E7D21ICC","Rustic Rubber Computer","Ergonomic Chair made with Ceramic for all-day babyish support","367.09","true","2015-11-27 19:56:05","2016-01-13 01:06:54"
"156","Z8K9X35L","Modern Wooden Pizza","New purple Chicken with ergonomic design for rubbery comfort","584.95","true","2017-04-23 07:51:34","2022-03-10 21:19:16"
"157","L3MKVFJ1","Practical Marble Computer","Ergonomic Chair made with Bamboo for all-day uncommon support","897.79","false","2018-01-29 20:58:25","2021-12-28 06:04:05"
"158","8VTS9SVL","Licensed Ceramic Salad","The Total bifurcated solution Cheese offers reliable performance and foolish design","1539.3","true","2017-08-15 19:07:41","2018-08-18 06:21:57"
"159","9C9E1PDY","Rustic Wooden Computer","The Programmable optimizing website Bike offers reliable performance and compassionate design","1516.15","false","2019-01-16 18:01:15","2024-01-04 06:01:19"
"160","EEGIR41W","Incredible Concrete Gloves","The salmon Table combines Samoa aesthetics with Xenon-based durability","686.89","true","2017-03-30 20:45:11","2021-09-15 23:12:46"
"161","8496DS8H","Incredible Marble Computer","Our savory-inspired Pizza brings a taste of luxury to your oval lifestyle","345.65","true","2016-09-30 04:14:55","2022-12-06 09:45:51"
"162","KSE6TD84","Ergonomic Plastic Fish","Featuring Iridium-enhanced technology, our Car offers unparalleled chilly performance","156.39","true","2025-02-16 05:18:59","2025-05-05 12:33:56"
"163","0P73J957","Soft Bronze Fish","New white Bacon with ergonomic design for good-natured comfort","1298.29","true","2018-06-11 11:15:29","2018-06-27 13:29:34"
